,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
4446,,1943,1943.05.27,27-May-43,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.05.27-Zamperini.pdf
4447,CENTRAL PACIFIC,1943,1943.05.17.b,17-May-43,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.05.17.b-Reading.pdf
4448,CENTRAL PACIFIC,1943,1943.05.17.a,17-May-43,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.05.17.a-Almond.pdf
4449,AUSTRALIA,1943,1943.05.14,14-May-43,M,F,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.05.14-Centaur.pdf
4450,,1943,1943.05.01.R,Reported 01-May-1943,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.05.01.R-Clarence-Master.pdf
4451,USA,1943,1943.04.05,05-Apr-43,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.04.05-Gant.pdf
4452,SOUTH AFRICA,1943,1943.03.21,21-Mar-43,M,31,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.03.21-Ridley.pdf
4453,SIERRA LEONE,1943,1943.03.14,14-Mar-43,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.03.14-Empress-of-Canada.pdf
4454,BRAZIL,1943,1943.03.02.b,02-Mar-43,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.03.02.b-AlfonsoPenna.pdf
4455,PAPUA NEW GUINEA,1943,1943.03.02.a,02-Mar-1943 to 07-Mar-1943,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.03.02.a-HuonGulf.pdf
4456,,1943,1943.01.26,26-Jan-43,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.01.26-BuyoMaru.pdf
4457,MEXICO,1943,1943.00.00.f,Summer 1943,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.f-NV-Veracruz.pdf
4458,SOLOMON ISLANDS,1943,1943.00.00.e,1943,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.e-Soldier.pdf
4459,IRAQ,1943,1943.00.00.d,1943,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.d-Khaleeula.pdf
4460,USA,1943,1943.00.00.c,Fall 1943,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.c - Midway.pdf
4461,USA,1943,1943.00.00.b,Fall 1943,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.b - Midway.pdf
4462,USA,1943,1943.00.00.a,1943,M,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.00.00.a-Midway.pdf
4463,AUSTRALIA,1942,1942.12.26,26-Dec-42,F,15,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.12.26-Burch.pdf
4464,SOUTH AFRICA,1942,1942.11.28,28-Nov-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.28-NovaScotia.pdf
4465,SOUTH AFRICA,1942,1942.11.25,25-Nov-42,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.25-Bilton.pdf
4466,SOLOMON ISLANDS,1942,1942.11.16,16-Nov-42,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.16-Guadalcanal-HospitalShip.pdf
4467,,1942,1942.11.21,21-Nov-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.21-City-of-Cairo.pdf
4468,SOLOMON ISLANDS,1942,1942.11.13.c,13-Nov-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.13.c-Hicks.pdf
4469,SOLOMON ISLANDS / VANUATU,1942,1942.11.13.b,13-Nov-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.13.b-Juneau.pdf
4470,SOLOMON ISLANDS,1942,1942.11.13.a,12-Nov-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.13.a-Guadalcanal.pdf
4471,SOUTH AFRICA,1942,1942.11.01,01-Nov-42,M,18,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.01-Bergh.pdf
4472,,1942,1942.11.00.b,Nov-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.00.b-Rickenbacker-raftmate.pdf
4473,,1942,1942.11.00.a,Nov-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.11.00.a-Izzi.pdf
4474,SOLOMON ISLANDS,1942,1942.10.12,12-Oct-42,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.10.12-Kabat.pdf
4475,,1942,1942.09.30,30-Sep-42,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.09.30-EmpireAvocet.pdf
4476,,1942,1942.09.12.b,12-Sep-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.09.12.b-Laconia.pdf
4477,AUSTRALIA,1942,1942.09.12.a,12-Sep-42,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.09.12.a-Wearne.pdf
4478,,1942,1942.09.11,11-Sep-1942 to 16-Sep-1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.09.11-NV-AdriftonRaft.pdf
4479,SOLOMON ISLANDS,1942,1942.08.08,08-Aug-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.08.08-Amano.pdf
4480,,1942,1942.07.12,12-Jul-42,M,32,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.07.12-Miller.pdf
4481,ITALY,1942,1942.07.06,06-Jul-42,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.07.06-Bardolini
4482,BAY OF BENGAL,1942,1942.06.11.R,Reported 11-Jun-1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.06.11.R-Bay-of-Bengal.pdf
4483,BRAZIL,1942,1942.06.08.R,Reported 08-Jun-1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.06.08.R-Jacare-Brazil.pdf
4484,USA,1942,1942.06.04,04-Jun-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.06.04-Midway.pdf
4485,,1942,1942.06.00,Jun-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.06.00-on-life-raft.pdf
4486,AUSTRALIA,1942,1942.05.09,09-May-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.05.09-Johnson.pdf
4487,,1942,1942.04.05,05-Apr-42,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.04.05-Dorsetshire-Cornwall.pdf
4488,CUBA,1942,1942.03.08,08-Mar-42,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.03.08-EssoBolivar.pdf
4489,AUSTRALIA,1942,1942.03.04,04-Mar-42,M,18,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.03.04-Bishop.pdf
4490,AUSTRALIA,1942,1942.01.18,18-Jan-42,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.01.18-Surf-ski.pdf
4491,AUSTRALIA,1942,1942.01.04,04-Jan-42,F,28,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.01.04-Steadman.pdf
4492,AUSTRALIA,1942,1942.01.00,Jan-42,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.01.00-Surfski.pdf
4493,INDONESIA,1942,1942.00.00.k,1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.k-PigBasketAtrocity.pdf
4494,AUSTRALIA,1942,1942.00.00.j,Winter 1942,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.j-StormBay.pdf
4495,PHILIPPINES,1942,1942.00.00.i,Summer 1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.i-Adong.pdf
4496,SOUTH AFRICA,1942,1942.00.00.h,1942,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.h-boat.pdf
4497,SOUTH AFRICA,1942,1942.00.00.g,1942,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.g-SimonsTown.pdf
4498,BAHAMAS,1942,1942.00.00.f,1942,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.f-Mann.pdf
4499,,1942,1942.00.00.e,1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.e-seaman.pdf
4500,,1942,1942.00.00.d,1942,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.d-Aldrich.pdf
4501,,1942,1942.00.00.c,1942,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.c-AmericanAviators.pdf
4502,,1942,1942.00.00.b,1942,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.b-Hall-Green-Jennings.pdf
4503,PANAMA,1942,1942.00.00.a,1942,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1942.00.00.a-BellaVista.pdf
4504,,1941,1941.12.07,07-Dec-41,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.12.07-SouthAtlantic.pdf
4505,AUSTRALIA,1941,1941.12.03,03-Dec-41,M,10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.12.03-Graham.pdf
4506,,1941,1941.11.27.b,27-Nov-41,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.11.27.b-Nash.pdf
4507,,1941,1941.11.27.a,27-Nov-41,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.11.27.a-Annison.pdf
4508,,1941,1941.11.24,25-Nov-41,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.11.24-Dunedin.pdf
4509,AUSTRALIA,1941,1941.11.19,19-Nov-41,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.11.19-Kormoran.pdf
4510,,1941,1941.09.25,25-Sep-41,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.09.25-Scotty.pdf
4511,USA,1941,1941.08.21.R,Reported 21-Aug-1941,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.08.21.R-Kelly.pdf
4512,AUSTRALIA,1941,1941.08.05,05-Aug-41,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.08.05-Dickerson.pdf
4513,USA,1941,1941.08.01,01-Aug-41,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.08.01-Sweatmon.pdf
4514,USA,1941,1941.07.22,22-Jul-41,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.07.23-boatBingo.pdf
4515,USA,1941,1941.07.01,01-Jul-41,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.07.01-Shimoto.pdf
4516,USA,1941,1941.06.15,15-Jun-41,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.06.15-Ruhle.pdf
4517,,1941,1941.06.00,Jun-41,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.06.00-Ecuador.pdf
4518,,1941,1941.03.24,24-Mar-41,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.03.24-Britannia.pdf
4519,USA,1941,1941.03.09,09-Mar-41,M,53,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.03.09-Martinez.pdf
4520,AUSTRALIA,1941,1941.02.13.,13-Feb-41,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.02.13-See.pdf
4521,JAMAICA,1941,1941.02.01,01-Feb-41,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.02.01-Buchanan.pdf
4522,,1941,1941.01.29,29-Jan-41,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.01.29-Hay.pdf
4523,,1941,1941.01.00,Jan-41,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.01.00-Scotsman-Indian.pdf
4524,SOLOMON ISLANDS,1941,1941.00.00.h,1941,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.h-Munda.pdf
4525,IRAN,1941,1941.00.00.f,1941,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.f-old-fisherman.pdf
4526,IRAN,1941,1941.00.00.e,1941,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.e-local-dignitary.pdf
4527,IRAN,1941,1941.00.00.d,1941,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.d-Gurkha-soldier.pdf
4528,IRAN,1941,1941.00.00.c,1941,M,6,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.c-small-boy.pdf
4529,IRAN,1941,1941.00.00.b,1941,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.b-IASCambulance-driver.pdf
4530,PAPUA NEW GUINEA,1941,1941.00.00.a,1941,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.a-RenagiLoi.pdf
4531,AUSTRALIA,1940,1940.12.28,28-Dec-40,M,23,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.28-Hammond.pdf
4532,SOUTH AFRICA,1940,1940.12.20,20-Dec-40,M,17,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.20-Chandley.pdf
4533,AUSTRALIA,1940,1940.12.19.R,Reported 19-Dec-1940,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.19.R-JackRyan.pdf
4534,AUSTRALIA,1940,1940.12.10,10-Dec-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.10-Garten.pdf
4535,PANAMA,1940,1940.09.00,Sep-40,M,18,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.09.00-Menacho.pdf
4536,USA,1940,1940.07.13.b,13-Jul-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.07.13.b-Tanner.pdf
4537,USA,1940,1940.07.13.a,13-Jul-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.07.13.a-Haley.pdf
4538,USA,1940,1940.06.30,30-Jun-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.06.30-Dye.pdf
4539,SOUTH AFRICA,1940,1940.03.31,31-Mar-40,M,25,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.03.31-Lees.pdf
4540,AUSTRALIA,1940,1940.03.20,20-Mar-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.03.20-Walker.pdf
4541,SOUTH AFRICA,1940,1940.02.22,22-Feb-40,M,17,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.22 - Lund.pdf
4542,AUSTRALIA,1940,1940.02.20,20-Feb-40,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.20-canoe-Sydney.pdf
4543,AUSTRALIA,1940,1940.02.04,04-Feb-40,M,55,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.04-Eke.pdf
4544,AUSTRALIA,1940,1940.01.29,29-Jan-40,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.29-BrisbaneRiver.pdf
4545,AUSTRALIA,1940,1940.01.23,23-Jan-40,M,13,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.23-Farrin.pdf
4546,AUSTRALIA,1940,1940.01.15,15-Jan-40,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.15-Bright.pdf
4547,SOUTH AFRICA,1940,1940.01.07,07-Jan-40,M,18,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.07-Hooper.pdf
4548,AUSTRALIA,1940,1940.01.01,01-Jan-40,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.01-native-diver.pdf
4549,SLOVENIA,1940,1940.00.00.f,Ca. 1940,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.f-boat-Slovenia.pdf
4550,NEW GUINEA,1940,1940.00.00.e,1940,F,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.e-small-girl.pdf
4551,PAPUA NEW GUINEA,1940,1940.00.00.d,1940,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.d-Kerema.pdf
4552,SOUTH AFRICA,1940,1940.00.00.c,1940,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.c-KiddsBeach.pdf
4553,SOUTH AFRICA,1940,1940.00.00.b,1940,F,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.b-IndianFemale.pdf
4554,SOUTH AFRICA,1940,1940.00.00.a,1940,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.a-Woman-Kowie.pdf
4555,AUSTRALIA,1939,1939.12.28,28-Dec-39,M,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.28-Carroll.pdf
4556,AUSTRALIA,1939,1939.12.14,14-Dec-39,M,20,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.14-Gurran.pdf
4557,AUSTRALIA,1939,1939.11.23,23-Nov-39,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.23-Wollongong-3.pdf
4558,AUSTRALIA,1939,1939.11.11,11-Nov-39,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.11-boat-Maroubra.pdf
4559,AUSTRALIA,1939,1939.11.09,09-Nov-39,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.09-boat-2-Wollongong.pdf
4560,AUSTRALIA,1939,1939.11.06,06-Nov-39,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.06-boat-1-Wollongong.pdf
4561,SAMOA,1939,1939.11.02.R,Reported 02-Nov-1939,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.02.R-Samoa.pdf
4562,AUSTRALIA,1939,1939.10.25.R,Reported 25-Oct-1939,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.25.R-Cobbe.pdf
4563,USA,1939,1939.10.04,04-Oct-39,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.04-Akina.pdf
4564,AUSTRALIA,1939,1939.09.27.R,Reported 27-Sep-1939,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.09.27-Mira.pdf
4565,USA,1939,1939.08.01,01-Aug-39,M,33,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.08.01-Ray.pdf
4566,,1939,1939.07.18,18-Jul-39,,3,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.18-Child-B-Maru.pdf
4567,BAHAMAS,1939,1939.07.16,16-Jul-39,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.16-MacEwan.pdf
4568,USA,1939,1939.07.14,14-Jul-39,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.14-Bolling.pdf
4569,USA,1939,1939.05.03,03-May-39,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.05.03-Heagan.pdf
4570,PAPUA NEW GUINEA,1939,1939.04.12.R,12-Apr-39,M,9,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.04.12.R-Child.pdf
4571,PAPUA NEW GUINEA,1939,1939.03.24,24-Mar-39,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.03.24-Raho-Heni.pdf
4572,NEW ZEALAND,1939,1939.02.26,26-Feb-39,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.02.26-Ramsbottom.pdf
4573,AUSTRALIA,1939,1939.01.12,12-Jan-39,M,Both 11,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.01.12.R-ClarenceRiver.pdf
4574,SRI LANKA,1939,1939.00.00.e,Woirld War II,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.e-WREN.pdf
4575,BAHAMAS,1939,1939.00.00.d,Ca. 1939,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.d-skiff.pdf
4576,VENEZUELA,1939,1939.00.00.c,1939,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.c-Haberdasher.pdf
4577,CURACAO,1939,1939.00.00.b,1939,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.b-Hass.pdf
4578,PAPUA NEW GUINEA,1939,1939.00.00.a,1939,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.a-Garvakala.pdf
4579,AUSTRALIA,1938,1938.12.27,27-Dec-38,M,19,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.12.27-Graham.pdf
4580,AUSTRALIA,1938,1938.10.05,05-Oct-38,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.10.05-Lopez.pdf
4581,CHINA,1938,1938.08.29,29-Aug-38,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.29-Baker.pdf
4582,USA,1938,1938.08.18,18-Aug-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.18-WarrenWilliams.pdf
4583,USA,1938,1938.07.18,18-Jul-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.18-MaynardTanner.pdf
4584,TURKEY,1938,1938.07.17.R,Reported 17-Jul-1938,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17.R-Turkey.pdf
4585,USA,1938,1938.07.17,17-Jul-38,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17-Griffet.pdf
4586,AUSTRALIA,1938,1938.07.12,12-Jul-38,M,25,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.12-Okada.pdf
4587,NICARAGUA,1938,1938.06.17,17-Jun-38,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.17-Hodgson_Ollis.pdf
4588,AUSTRALIA,1938,1938.06.08,08-Jun-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.08-Edwards.pdf
4589,COSTA RICA,1938,1938.05.26,26-May-38,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.26.R-Villareal.pdf
4590,IRAQ,1938,1938.05.15,15-May-38,M,9 or 10,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.15-Basrah.pdf
4591,INDIA,1938,1938.05.02.R,Reported 02-May-1938,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.02.R-India.pdf
4592,FIJI,1938,1938.03.21.R,Reported 21-Mar-1938,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.21.R-FijianMethodist.pdf
4593,AUSTRALIA,1938,1938.03.08,08-Mar-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.08-Liverpool-River.pdf
4594,AUSTRALIA,1938,1938.01.21,21-Jan-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.21-Corowa.pdf
4595,SOUTH AFRICA,1938,1938.01.18,18-Jan-38,M,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.18-Parkin.pdf
4596,AUSTRALIA,1938,1938.01.14,14-Jan-38,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.14-Murray.pdf
4597,AUSTRALIA,1938,1938.01.02,02-Jan-38,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.02-Baker.pdf
4598,EGYPT,1938,1938.00.00.e.R,Reported 1938,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.e.R-Egypt.pdf
4599,TRINIDAD & TOBAGO,1938,1938.00.00.d,1938,M,50,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.d-Huggins.pdf
4600,USA,1938,1938.00.00.c,1938,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.c-Willards.pdf
4601,AUSTRALIA,1938,1938.00.00.b,1938,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.b-Sammy.pdf
4602,SOUTH AFRICA,1938,1938.00.00.a,1938,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.a-blackmale.pdf
4603,USA,1937,1937.11.13,13-Nov-37,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.13-Tzenny-Chandris.pdf
4604,AUSTRALIA,1937,1937.11.11,11-Nov-37,M,17,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.11-Kris.pdf
4605,SOLOMON ISLANDS,1937,1937.11.06.R,Reported 06-Nov-1937,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.06.R-Solomon-Islands.pdf
4606,AUSTRALIA,1937,1937.10.27.b,27-Oct-37,M,25,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.27.b-Brinkley.pdf
4607,AUSTRALIA,1937,1937.10.27.a,27-Oct-37,M,18,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.27.a-Girvanpub.pdf
4608,AUSTRALIA,1937,1937.10.24.c,24-Oct-37,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.24.b-McDonald.pdf
4609,AUSTRALIA,1937,1937.10.24.a,24-Oct-37,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.24.a-Denning.pdf
4610,CROATIA,1937,1937.09.26.R,Reported 26-Sep-t937,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.16.R-Omis.pdf
4611,SCOTLAND,1937,1937.09.12,12-Sep-37,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.12-GlenSannox.pdf
4612,SCOTLAND,1937,1937.09.11,11-Sep-37,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.11-LadyCharlotte.pdf
4613,SCOTLAND,1937,1937.09.01,01-Sep-37,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.01-Scotland.pdf
4614,AUSTRALIA,1937,1937.08.31,31-Aug-37,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.31-IonaAsai.pdf
4615,TURKEY,1937,1937.08.16,16-Aug-37,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.16-Istanbul.pdf
4616,PANAMA,1937,1937.08.02,02-Aug-37,M,21,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.02-Fernandez.pdf
4617,AUSTRALIA,1937,1937.07.16.R,Reported 16-Jul-1937,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.07.16.R-JapaneseDiver.pdf
4618,ITALY,1937,1937.07.06,07-Jul-37,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.07.06-Italy.pdf
4619,GREECE,1937,1937.06.28.R,Reported 28-Jun-1937,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.28.R-Salonika.pdf
4620,AUSTRALIA,1937,1937.06.15.b,15-Jun-37,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.15.b-Emmerton.pdf
4621,USA,1937,1937.06.15,    15-Jun-1937,M,14,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.15.a-Thompson.pdf
4622,USA,1937,1937.05.30,30-May-37,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.05.30-Siskalo.pdf
4623,AUSTRALIA,1937,1937.05.15,15-May-37,M,33,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.05.15-Tennant.pdf
