Case Number,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Species ,Investigator or Source,Date,Year
1934.12.23.a,Unprovoked,AUSTRALIA,New South Wales,Woy Woy on the Brisbane Waters,swimming,M,12,N,unknown,"J. Green, pp.10 & 33 corrects earlier accounts that gave the location as Queensland; V.M. Coppleson (1958), pp.85-86 & 233; A. MacCormick, p.172",1934-12-23,1934.0
1934.10.09,Unprovoked,AUSTRALIA,Northern Territory,"Redcliff, Cobourg Peninsula",bathing,F,38,Y,unknown,"The Age, 10/27/1934;; V.M. Coppleson (1958), p.240",1934-10-09,1934.0
1934.10.08,Provoked,BERMUDA,Hamilton,Hamilton Parish,fishing,M,Unknown,N,unknown,"The Gleaner, 10/16/1934",1934-10-08,1934.0
1934.10.02,Unprovoked,AUSTRALIA,Torres Strait,Warrior Reefs,unknown,M,Unknown,Y,unknown," V.M. Coppleson (1958), pp.102-103",1934-10-02,1934.0
1934.09.08,Provoked,BERMUDA,Hamilton,Nine miles off Frasconi Flats,fishing,M,Unknown,N,unknown,"NY Times, 9/10/193, p.10",1934-09-08,1934.0
1934.08.27,Boating,ITALY,Sicily,Catania,fishing,M,Unknown,N,white shark,A. De Maddalena; Giudici & Fino (1989),1934-08-27,1934.0
1934.08.26.R,Invalid,ITALY / CROATIA,Unknown,Kralievica,swimming,F,Unknown,Unknown,unknown,"C. Moore & R. Roccini, GSAF; D. Baldridge, pp.15-16; A. De Maddalena; I. Fergusson (1996), L. Lipej (pers. Comm.)",1934-08-26,1934.0
1934.08.26,Unprovoked,AUSTRALIA,Queensland,Off Eva Island 20 miles from Cardwell,unknown,M,Unknown,Y,unknown,"G.P. Whitley citing Sydney Morning Herald 8/27/1934; Sunday Mail (Brisbane) 11/18/1934; G.P. Whitley, p.262; J. Green, p.33;V.M. Coppleson (1958), p.238",1934-08-26,1934.0
1934.08.21,Unprovoked,CROATIA,Adriatic Sea,"Susak (Rijeka, Istria)",swimming,F,18,Y,white shark,"NY Times, 7/10/1934, p.15; V.M. Coppleson (1958), p. 266; R. Rocconi;   D. Baldridge, p.15; A. De Maddalena; Giudici & Fino (1989), De Maddalena (2000)",1934-08-21,1934.0
1934.08.05,Unprovoked,USA,Georgia,"Thunderbolt, Chatham County",swimming,M,11,N,unknown,"Cullman Democrat, 8.9/1934",1934-08-05,1934.0
1934.07.11,Boating,AUSTRALIA,New South Wales,Cronulla,fishing,Unknown,Unknown,N,unknown,"G.P. Whitley, ref: Daily Telegraph, 7/11/1934 & Sydney Morning Herald  7/12/1934",1934-07-11,1934.0
1934.06.21,Provoked,AUSTRALIA,New South Wales,Off Mooloolabah,fishing,M,Unknown,N,unknown,"Sydney Morning Herald, 6/23 & 6/25/1934  ",1934-06-21,1934.0
1934.06.20,Unprovoked,USA,Florida,"Melbourne, Brevard County",standing,M,8,Y,unknown,"New York Herald Tribune, 6/21/1934 ",1934-06-20,1934.0
1934.04.15,Unprovoked,AUSTRALIA,Queensland,"Elephant Rock, Currumbin near Southport",surfing,M,34,N,unknown,"V.M. Coppleson (1958), pp.92 & 238. Note: L. Schultz lists date as 1/15/1934 ",1934-04-15,1934.0
1934.04.01.c,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Grannys Pool, Winkelspruit",swimming,M,Unknown,Y,unknown,"N. Doveton; M. Levine, GSAF",1934-04-01,1934.0
1934.04.01.b,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Danger Pool, Winkelspruit",swimming,M,12,N,unknown,"A.D. McArthur, M. Levine, GSAF",1934-04-01,1934.0
1934.04.01.a,Unprovoked,AUSTRALIA,New South Wales,North Steyne,swimming,M,15,Y,unknown,"V.M. Coppleson (1958), p. 233  ",1934-04-01,1934.0
1934.03.12,Unprovoked,AUSTRALIA,New South Wales,"Dee Why, north of Queenscliff ",swimming,M,17,Y,unknown,"V.M. Coppleson (1958), pp.66 & 232; A. Sharpe, p.67",1934-03-12,1934.0
1934.03.00,Provoked,AUSTRALIA,New South Wales,Cronulla,fishing,Unknown,Unknown,N,mako shark,"V.M. Coppleson (1958), p.182; G.P. Whitley ",1934-03-01,1934.0
1934.02.24,Unprovoked,AUSTRALIA,Torres Strait,Adolphus Channel,unknown,M,Unknown,N,unknown,"V.M. Coppleson (1958), p.243",1934-02-24,1934.0
1934.02.22,Unprovoked,CHILE,Elqui Province,Coquimbo,unknown,M,Unknown,Y,unknown,"Los Angeles Times, 2/23/1934, p.20",1934-02-22,1934.0
1934.01.08.R,Boating,TURKEY,Istanbul,"Haydarpasa jetty, Istanbul",fishing,M,Unknown,N,unknown,"C. Moore, GSAF",1934-01-08,1934.0
1934.01.27,Unprovoked,AUSTRALIA,New South Wales,"Lambeth Street Wharf, Georges River, East Hills (20 miles from river mouth)",swimming,M,15,N,unknown,"V.M. Coppleson (1958), pp.67 & 232; A. Sharpe, p.89; J. Borg, p.89",1934-01-27,1934.0
1934.01.07,Unprovoked,AUSTRALIA,New South Wales,Queenscliff,swimming,M,22,N,unknown,"V.M. Coppleson (1958), pp.65-66 & 232; A. Sharpe, pp.66-67 ",1934-01-07,1934.0
1933.11.20,Unprovoked,AUSTRALIA,Torres Strait,Near Boydong Cay,diving,M,Unknown,Y,tiger shark,"Cairns Post, 11/29/1933",1933-11-20,1933.0
1933.11.18,Unprovoked,AUSTRALIA,Queensland,Near Barrow Point,diving,M,17,N,tiger shark,"V.M. Coppleson (1958), p.243",1933-11-18,1933.0
1933.10.25.R,Unprovoked,AUSTRALIA,Queensland,Off Bloomfield River,diving,M,Unknown,N,unknown,"Courier-Mail, 10/25/1933",1933-10-25,1933.0
1933.09.27.R,Boating,ISRAEL,Unknown,Nabi Rubin,fishing,M,Unknown,N,unknown,"C. Moore, GSAF",1933-09-27,1933.0
1933.08.28.b,Provoked,USA,California,"Hermosa Beach, Los Angeles County",fishing,M,Unknown,N,unknown,"D. Baldridge, p.90",1933-08-28,1933.0
1933.08.28.a,Unprovoked,USA,South Carolina,"Pawleys Island, north of Charleston",bathing,M,Unknown,N,unknown,"E.M. Burton; V.M. Coppleson (1958), pp.153 & 253",1933-08-28,1933.0
1933.08.26.R,Unprovoked,USA,Connecticut,Mystic River,swimming,F,Unknown,N,unknown,"Hartford Courant, 8/26/1933",1933-08-26,1933.0
1933.07.07.R,Unprovoked,USA,California,"San Diego, San Diego County",unknown,M,50,N,tiger shark,"Woodland Daily Democrat, 7/7/1933",1933-07-07,1933.0
1933.07.03,Unprovoked,AUSTRALIA,Western Australia,Broome,diving,M,Unknown,N,unknown,"Canberra Times, 7/6/1933",1933-07-03,1933.0
1933.06.21,Unprovoked,USA,South Carolina,North end of Morris Island at mouth of Charleston Harbor,sitting,M,15,N,unknown,"E. M. Burton (1935); V.M. Coppleson (1958), pp.152-153 & 252; Randall in Sharks and Survival, p.350; Note: A. Resciniti lists date as 21-Jul-1933",1933-06-21,1933.0
1933.06.16,Unprovoked,USA,South Carolina,"Folly Island, near Charleston",standing,F,Unknown,N,unknown,E. M. Burton; Note: A. Resciniti lists date as 16-Jul-1933,1933-06-16,1933.0
1933.06.13,Invalid,AUSTRALIA,Northern Territory,Darwin,fishing,M,Unknown,Unknown,unknown,"V.M. Coppleson (1962), p.245",1933-06-13,1933.0
1933.05.24,Sea Disaster,BARBADOS,St Michael Parish,Off Pelican Island,unknown,Unknown,Unknown,Y,unknown,"New York Times 5/26/1933; L. Schultz & M. Malin, p.558; SAF Case #931",1933-05-24,1933.0
1933.05.23,Provoked,AUSTRALIA,Queensland,Off Stradbroke Island,fishing,M,Unknown,N,unknown,"Brisbane Courier, 5/24/1933",1933-05-23,1933.0
1933.06.08.R,Unprovoked,AUSTRALIA,Queensland,Currumbin,treading,M,Unknown,N,unknown,"Townsville Daily Bulletin, 6/9/1933 ",1933-06-08,1933.0
1933.05.03,Sea Disaster,CUBA,Havana Province,"Off Jaimanitas Yacht Club, Havana",swimming,M,Unknown,Y,unknown,"NY Times, May 4, 1933",1933-05-03,1933.0
1933.04.10,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",swimming,M,24,Y,unknown,"New York Herald Tribune, 4/12/1933",1933-04-10,1933.0
1933.02.26,Unprovoked,AUSTRALIA,New South Wales,Sydney,standing,M,Unknown,N,unknown,"Townsville Daily Bulletin, 2/27/1933",1933-02-26,1933.0
1933.02.15.R,Unprovoked,AUSTRALIA,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",diving,M,Unknown,N,unknown,"La Crosse Tribune And Leader-Press, 5/15/1933; V.M. Coppleson.Q12. (1933); V.M. Coppleson, p.242",1933-02-15,1933.0
1933.02.14,Boating,AUSTRALIA,South Australia,Adelaide,unknown,Unknown,Unknown,N,unknown,"G.P. Whitley citing Sydney Morning Herald, 2/16/1933",1933-02-14,1933.0
1933.02.12,Provoked,AUSTRALIA,South Australia,"Port River, Adelaide",fishing,M,Unknown,N,unknown,"The Advertiser, 2/13/1933",1933-02-12,1933.0
1933.01.04,Unprovoked,AUSTRALIA,Queensland,"Strand Beach, Kissing Point, Townsville",swimming,M,38,Y,unknown,"V. M. Coppleson.Q11. (1933); V.M. Coppleson (1958), pp.90 & 238",1933-01-04,1933.0
1932.12.11.R,Unprovoked,AUSTRALIA,Northern Territory,Arnhem Land,unknown,M,Unknown,N,unknown,"Sunday Times (Perth), 12/11/1932 ",1932-12-11,1932.0
1932.12.09.R,Provoked,NEW ZEALAND,North Island,Mahurangi River Mouth,fishing,M,Unknown,N,unknown,"New Zealand Herald, 12/9/1932",1932-12-09,1932.0
1932.11.09,Sea Disaster,CUBA,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,unknown,"Barrier Miner, 11/14/1932",1932-11-09,1932.0
1932.10.31,Unprovoked,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle",swimming,M,24,N,nurse shark,"V.M. Coppleson.N19. (1933); V.M. Coppleson (1958), pp.80 & 232",1932-10-31,1932.0
1932.10.11,Unprovoked,CAPE VERDE,Barlavento Islands,São Vicente ,swimming,M,27,Y,unknown,"C. Moore, GSAF",1932-10-11,1932.0
1932.09.26.R,Unprovoked,FIJI,Viti Levu Island,Navua,unknown,M,Unknown,N,unknown,"Queensland Times, 9/26/1932",1932-09-26,1932.0
1932.08.30.b,Provoked,AUSTRALIA,New South Wales,Bondi,unknown,M,Unknown,N,unknown,G.P. Whitley,1932-08-30,1932.0
1932.08.30.a,Provoked,AUSTRALIA,New South Wales,Newcastle,unknown,M,Unknown,N,unknown,"G.P. Whitley; J. Green, p.32",1932-08-30,1932.0
1932.08.10,Provoked,USA,New Jersey,"Offshore, between Mantoloking & Point Pleasant, Ocean County",fishing,M,Unknown,N,unknown,"Lime Springs Herald, 9/22/1932; R. Heyer",1932-08-10,1932.0
1932.08.09,Unprovoked,AUSTRALIA,Torres Strait,Unknown,diving,M,Unknown,N,unknown,"J. Green, p.32; V.M. Coppleson (1958), p.242",1932-08-09,1932.0
1932.08.06,Provoked,BAHAMAS,New Providence District,"Nassau, New Providence Island",unknown,M,18,N,unknown,"New York Times, 8/7/1932 ",1932-08-06,1932.0
1932.07.14.R,Invalid,USA,Texas,Galveston,unknown,M,17,Unknown,unknown,IGFA,1932-07-14,1932.0
1932.07.02,Boating,CANADA,Bay of Fundy,16 km west of Digby Gut,fishing,M,Unknown,N,white shark,Piers (1933),1932-07-02,1932.0
1932.06.28,Provoked,USA,New Jersey,"10 miles offshore from Sea Isle City, Cape May County",fishing,M,32,N,unknown,"NY Times, 6/29/1932 ",1932-06-28,1932.0
1932.06.26,Provoked,USA,New Jersey,"Off Ocean City, Cape May County",fishing,M,Unknown,N,unknown,"NY Times, 6/29/1932 ",1932-06-26,1932.0
1932.06.20,Unprovoked,FIJI,Yasawa Islands,Nabukeru ,diving,F,Unknown,Y,unknown,"V.M. Coppleson (1958), p.259",1932-06-20,1932.0
1932.05.12,Unprovoked,AUSTRALIA,Torres Strait,Near Warrior Reefs,diving,M,Unknown,Y,unknown,"V.M. Coppleson (1958), p242",1932-05-12,1932.0
1932.05.00,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,diving,M,Unknown,N,unknown,"J. Green, p.32; V.M. Coppleson (1958), p.242",1932-05-01,1932.0
1932.04.16.b,Unprovoked,PHILIPPINES,Manila,Fort Mills,standing,M,Unknown,Y,unknown,J.F. Corby,1932-04-16,1932.0
1932.04.16.a,Unprovoked,PHILIPPINES,Manila,Fort Mills,standing,F,Unknown,Y,unknown,J. F. Corby,1932-04-16,1932.0
1932.02.16,Unprovoked,USA,Hawaii,"1 mile off Mala Wharf, Lahaina, Maui",swimming,M,Unknown,N,unknown,"San Antonio Light (San Antonio, Texas), 2/17/1932; J. Borg, p.71",1932-02-16,1932.0
1932.02.13,Unprovoked,AUSTRALIA,Queensland,Calliope River,fishing,M,Unknown,N,unknown,"Morning Bulletin, 6/5/1932",1932-02-13,1932.0
1932.02.08,Unprovoked,PHILIPPINES,Manila,Fort Mills,unknown,M,Unknown,Y,unknown,J.F. Corby,1932-02-08,1932.0
1932.01.27,Unprovoked,AUSTRALIA,Queensland,Ipswich,swimming,M,Unknown,N,small shark,"Brisbane Courier, 1/28/1932",1932-01-27,1932.0
1932.01.11,Boating,AUSTRALIA,Victoria,Frankston,fishing,Unknown,Unknown,Unknown,nurse shark,G.P. Whitley citing Herald (Melbourne) 1/12/1932 ,1932-01-11,1932.0
1932.01.06,Provoked,MEXICO,Baja California,Descano Point,fishing,M,36,Y,unknown,"NY Herald Tribune, 1/8/1933 ",1932-01-06,1932.0
1932.00.00,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Kowie River Mouth, Port Alfred",unknown,M,23,N,unknown,"R. Samuels, K. Reynolds & M. Levine, GSAF ",1932-01-01,1932.0
1931.11.26,Unprovoked,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,diving,M,45,N,unknown,"The Argus, 11/28/1931; /V.M. Coppleson.Q10. (1933) ",1931-11-26,1931.0
1931.09.27,Unprovoked,JAMAICA,Unknown,"East Beach, Kingsston",diving,M,Unknown,Y,unknown,"The Gleaner, 9/29/1931",1931-09-27,1931.0
1931.09.21.b,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",swimming,M,Unknown,N,unknown,"L. Schultz & M. Malin, p.534",1931-09-21,1931.0
1931.09.21.a,Unprovoked,USA,Florida,"Municipal Beach, West Palm Beach, Palm Beach County",swimming,F,20,N,unknown,"E.W. Gudger (1937); V.M. Coppleson (1958), p.252; R. Skocik, pp.174-175",1931-09-21,1931.0
1931.09.02,Invalid,USA,Hawaii,"Kahala, O'ahu",fishing,M,Unknown,Unknown,unknown,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; L. Taylor (1993), pp.96-97",1931-09-02,1931.0
1931.08.31,Unprovoked,CUBA,Havana Province,"Vedado Baths, Miramar, Havana",swimming,M,18,Y,unknown,"NYTimes, 9/2/1931",1931-08-31,1931.0
1931.08.30,Invalid,USA,Hawaii,Unknown,unknown,M,Unknown,Unknown,unknown,"Middlesboro Daily News, 9//2/1931",1931-08-30,1931.0
1931.08.27,Boating,USA,New Jersey,"1 mile ESE of Navesink, Monmouth County",fishing,Unknown,Unknown,N,unknown,Press clipping dated 8/28/1931 ,1931-08-27,1931.0
1931.08.25,Unprovoked,CUBA,Havana Province,"Miramar subdivision, Havana",swimming,M,23,Y,unknown,"New York Times, 8/27/1931, p.7; V.M. Coppleson (1962), p.246",1931-08-25,1931.0
1931.08.23,Unprovoked,CUBA,Havana Province,"Miramar, Havana",swimming,M,Unknown,Y,unknown,"New York Times, 8/27/1931, p.7; V.M. Coppleson (1958), p.258",1931-08-23,1931.0
1931.08.18,Unprovoked,USA,Texas,Off Brownsville,swimming,M,Unknown,N,unknown,"Brownsville Herald, 8/19/1931",1931-08-18,1931.0
1931.08.06.R,Unprovoked,USA,New Jersey,"Sandy Hook (ocean side), Monmouth County",swimming,M,Unknown,N,unknown,"New York Times, 8/6/1931",1931-08-06,1931.0
1931.08.01,Unprovoked,AUSTRALIA,Queensland,Port Douglas,unknown,M,Unknown,Y,unknown,"Townsville Daily Bulletin, 8/4/1931",1931-08-01,1931.0
1931.07.28.R,Unprovoked,FIJI,Viti Levu Island,Tamavua River,swimming,M,Unknown,N,small shark,"Sydney Morning Herald, 8/12/1931",1931-07-28,1931.0
1931.07.15,Unprovoked,USA,New Jersey,"Sea Girt, Monmouth County",swimming,M,Unknown,N,unknown,"Daily Courier, 7/21/1931",1931-07-15,1931.0
1931.06.14,Unprovoked,USA,Hawaii,"Pearl Harbor, O'ahu",fishing,M,Unknown,N,unknown,"V.M. Coppleson, p.260",1931-06-14,1931.0
1931.06.13,Provoked,USA,Hawaii,"Pearl Harbor, O'ahu",unknown,M,Unknown,N,tiger shark,"G.H. Balazs; J. Borg, p.70; L. Taylor (1993), pp.96-97",1931-06-13,1931.0
1931.06.04.R,Unprovoked,USA,Florida,"Key West, Monroe County ",unknown,M,Unknown,N,unknown,"Key West Citizen, 6/4/1931",1931-06-04,1931.0
1931.05.02,Boating,AUSTRALIA,New South Wales,Kempsey,unknown,Unknown,Unknown,N,unknown,"Sydney Morning Herald, 6/5/1931; Whitley, p.262",1931-05-02,1931.0
1931.04.27.R,Unprovoked,Unknown,French Southern Territories,Île Saint-Paul,fishing,M,Unknown,Y,unknown,"Los Angeles Times, 4/27/1931",1931-04-27,1931.0
1931.03.22,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",fishing,M,19,Y,unknown,"V. M. Coppleson.Q9. (1933); V.M. Coppleson (1958), pp.90 & 238",1931-03-22,1931.0
1931.03.15,Boating,TURKEY,Unknown,"Bakurköy, Istanbul",fishing,Unknown,Unknown,N,unknown,"C. Moore, GSAF",1931-03-15,1931.0
1931.03.06,Provoked,AUSTRALIA,South Australia,Encounter Bay,fishing,M,Unknown,N,unknown,"Whitley, p.262;  V.M. Coppleson (1933)",1931-03-06,1931.0
1931.02.10,Invalid,AUSTRALIA,New South Wales,Maroubra Beach,swimming,M,39,Unknown,unknown,"Examiner, 2/11/1931",1931-02-10,1931.0
1931.01.24,Unprovoked,AUSTRALIA,Torres Strait,Near Thursday Island,unknown,M,Unknown,N,unknown,"G.P. Whitley, p.262",1931-01-24,1931.0
1931.01.14,Unprovoked,AUSTRALIA,Torres Strait,Unknown,diving,M,Unknown,N,unknown,"V.M. Coppleson (1958), p.242",1931-01-14,1931.0
1931.01.07,Unprovoked,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",swimming,M,18,N,unknown,"Canberra Times, 1/9/1931; V.M. Coppleson.Q8. (1933); V.M. Coppleson (1958), pp.91 & 237",1931-01-07,1931.0
1931.00.00.b,Unprovoked,TONGA,Niua ,Niuafo'ou Island ,swimming,M,Unknown,Y,unknown,"Clearfield Progress, 5/27/1931",1931-01-01,1931.0
1931.00.00.a,Unprovoked,PAPUA NEW GUINEA,Unknown,Unknown,unknown,Unknown,Unknown,Unknown,unknown,"V.M. Coppleson, p.49",1931-01-01,1931.0
1930.12.25,Unprovoked,AUSTRALIA,New South Wales,"Homebush Bay, Parramatta River, Sydney",swimming,M,49,N,unknown,"V.M. Coppleson (1933); V.M. Coppleson (1958), pp.44 & 232; A. Sharpe, p.17",1930-12-25,1930.0
1930.12.13,Unprovoked,AUSTRALIA,New South Wales,"Sailor Bay, Middle Harbour, Sydney",unknown,M,Unknown,Y,unknown,"Northern Standard (Dawin), 12/18/1930",1930-12-13,1930.0
1930.12.02,Boating,AUSTRALIA,Victoria,Rosebud,fishing,Unknown,Unknown,N,unknown,"G.P. Whitley, p.262",1930-12-02,1930.0
1930.12.00,Unprovoked,AUSTRALIA,New South Wales,Parramata River,unknown,M,Unknown,Y,unknown,"H.D.Baldridge (1994), SAF Case #506",1930-12-01,1930.0
1930.11.30,Unprovoked,AUSTRALIA,Queensland,"St. Helena Island, Moreton Bay",fishing,M,Unknown,N,unknown,"Sydney Morning Herald, 12/1/1930 ",1930-11-30,1930.0
1930.09.26.R,Unprovoked,HONDURAS,Black River,Unknown,swimming,M,Unknown,Y,unknown,"NY Times, 9/26/1930",1930-09-26,1930.0
1930.09.12.R,Boating,AZORES,Unknown,Unknown,unknown,Unknown,Unknown,N,unknown,"C. Moore, GSAF",1930-09-12,1930.0
1930.08.31,Unprovoked,AUSTRALIA,Western Australia,Geraldton,fishing,M,17,N,unknown,"Geraldton Guardian, 9/2/1930 ",1930-08-31,1930.0
1930.08.16,Unprovoked,SPAIN,Canary Islands,"El Escabonal, Tenerife ",swimming,M,38,N,unknown,C. Moore. GSAF,1930-08-16,1930.0
1930.08.06,Unprovoked,USA,Florida,"Palm Beach Inlet, Palm Beach County",swimming,M,Unknown,N,unknown,"Palm Beach Post, 8/7/1930",1930-08-06,1930.0
1930.07.19,Unprovoked,CUBA,Havana Province,"LaPlaya Beach / Vedado, Havana",swimming,M,29,N,unknown,"NY Times, 7/21/1930, p.7 & 8/27/1931; V.M. Coppleson (1958), p.258",1930-07-19,1930.0
1930.07.11,Unprovoked,USA,Florida,"Jensen Beach, Martin County",swimming,M,21,N,tiger shark,"NY Times, 7/13/1930, Section II, p.1, col.7; R.F. Hutton; V.M. Coppleson (1958), p.252",1930-07-11,1930.0
1930.06.04,Unprovoked,AUSTRALIA,Torres Strait,Near Mabuiag Island,unknown,M,Unknown,Y,unknown,"V.M. Coppleson (1958), p.242",1930-06-04,1930.0
1930.05.27,Unprovoked,USA,Texas,High Island,swimming,M,Unknown,N,unknown,"Port Arthur News, 5/28/1930",1930-05-27,1930.0
1930.05.11.R,Boating,TURKEY,Unknown,Ye?ilköy,fishing,M,Unknown,N,unknown,"C. Moore, GSAF",1930-05-11,1930.0
1930.05.11,Invalid,COSTA RICA,Limón Province,Off Porto Limon,unknown,Unknown,Unknown,Unknown,unknown,"Evening Independent, 5/12/1930",1930-05-11,1930.0
1930.04.08,Invalid,SOUTH AFRICA,Eastern Cape Province,Bashee River,unknown,M,17,Unknown,unknown,Dr. J.A. Du Toit,1930-04-08,1930.0
1930.03.07.R,Unprovoked,USA,Florida,70 miles off Tarpon Springs,diving,M,Unknown,N,unknown,"Evening Independent, 3/7/1930 ",1930-03-07,1930.0
1930.02.20,Unprovoked,AUSTRALIA,Torres Strait,Unknown,diving,M,19,N,unknown,"V.M. Coppleson (1958), p.242 ",1930-02-20,1930.0
1930.02.15,Unprovoked,AUSTRALIA,Victoria,"Middle Brighton, Port Phillip",diving,M,18,Y,white shark,"V.M. Coppleson.V2.(1933); V.M. Coppleson (1958), pp.110 & 241; A. MacCormick, p.175; J. West, ASAF",1930-02-15,1930.0
1930.02.03.R,Provoked,AUSTRALIA,Western Australia,Onslow,unknown,M,Unknown,N,unknown,"Geraldton Guardian and Express, 2/3/1930",1930-02-03,1930.0
1930.01.22,Boating,MEXICO,Veracruz,Panuco River Mouth,fishing,Unknown,Unknown,Y,unknown,"Reno Evening Gazette, 2/14/1930",1930-01-22,1930.0
1930.01.16,Unprovoked,SOUTH AFRICA,Western Cape Province,"Melkbaai, False Bay",swimming,M,23,N,white shark,"A. LeRoux, M. Levine, GSAF; L. Green; G.Wilson",1930-01-16,1930.0
1930.01.00,Sea Disaster,MAURITIUS,Unknown,Two miles from shore in Tamarind Bay,swimming,M,Unknown,Y,unknown,"NY Times, 1/14/1930, p.8, col.3; V.M. Coppleson (1958), p.261",1930-01-01,1930.0
1930.00.00.c,Unprovoked,OKINAWA,Unknown,Unknown,unknown,M,17,N,unknown,Wonderokinawa.com,1930-01-01,1930.0
1930.00.00.a,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"North End Beach, Port Elizabeth",swimming,M,Unknown,Y,unknown,H. Monsen,1930-01-01,1930.0
1929.12.26,Unprovoked,AUSTRALIA,New South Wales,"White Bay, near Bald Rock Jetty, Sydney Harbor ",diving,M,16,Y,tiger shark,"V.M. Coppleson.N3.(1933); V.M. Coppleson (1958), p.232; G.A. Llano, pp. 170-171",1929-12-26,1929.0
1929.12.21,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,diving,M,Unknown,N,unknown,L. Schultz & M. Malin ref. SAF Case #510,1929-12-21,1929.0
1929.12.16,Unprovoked,AUSTRALIA,New South Wales,Collaroy,bathing,F,17,N,small shark,"V.M. Coppleson.N10. (1933); V.M. Coppleson (1958), pp.112 & 232.  Note: In 1933 Coppleson gives the date of 16-Jan-1929 but revised it to 16-Dec-1929 in later works",1929-12-16,1929.0
1929.12.13,Unprovoked,AUSTRALIA,Torres Strait,Thursday Island,diving,M,Unknown,N,unknown,"J. Green, p.32; V.M. Coppleson (1958), p.242",1929-12-13,1929.0
1929.12.09.R,Unprovoked,Unknown,Unknown,Unknown,unknown,M,20,Y,unknown,"The Age, 12/9/1929",1929-12-09,1929.0
1929.12.03.R,Unprovoked,AUSTRALIA,Queensland,Townsville,unknown,M,Unknown,Y,unknown,"Brisbane Courier, 12/3/1929",1929-12-03,1929.0
1929.11.29,Sea Disaster,KIRIBATI,Phoenix Islands,Nikumaroro Island,unknown,M,Unknown,Y,unknown,"Hartford Courant, 2/15/1930",1929-11-29,1929.0
1929.11.21,Unprovoked,CUBA,Cienfuegos Province,Cienfuegos,fishing,M,Unknown,N,unknown,"New York Times, 11/28/1929",1929-11-21,1929.0
1929.10.20,Unprovoked,AUSTRALIA,Torres Strait,Near Badu Island,diving,M,Unknown,N,unknown,"V.M. Coppleson (1958), p.242",1929-10-20,1929.0
1929.10.02,Unprovoked,SPAIN,Valencia,Nasareth Beach,fishing,M,Unknown,N,unknown,C. Moore. GSAF,1929-10-02,1929.0
1929.09.01,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",unknown,M,42,Y,unknown,"V.M. Coppleson.Q7. (1933); V.M. Coppleson (1958), pp.90 & 237; A. Sharpe, p.96",1929-09-01,1929.0
1929.08.05,Unprovoked,USA,South Carolina,Fort Moultrie,bathing,M,Unknown,N,unknown,"Clay Creswell, GSAF",1929-08-05,1929.0
1929.07.29,Unprovoked,MEXICO,Tamaulipas,Tampico,swimming,M,Unknown,N,unknown,"V.M. Coppleson (1958), p.262",1929-07-29,1929.0
1929.07.17.R,Invalid,CAPE VERDE,Santiago Island,Tarrafal,unknown,F,Unknown,Unknown,unknown,"C. Moore; GSAF. Heraldo de Madrid, 7/17/1929",1929-07-17,1929.0
1929.06.23,Provoked,USA,Florida,"Fort Pierce, St Lucie County",fishing,M,Unknown,N,unknown,"Miami News, 6/25/1929",1929-06-23,1929.0
1929.05.31,Unprovoked,AUSTRALIA,Torres Strait,Unknown,diving,M,Unknown,N,unknown,"V.M. Coppleson (1958), p.242",1929-05-31,1929.0
1929.04.26.R,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,diving,M,Unknown,N,unknown,"Northern Standard (Dawin), 4/26/1929",1929-04-26,1929.0
1929.04.17.R,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,diving,M,Unknown,N,unknown,"Brisbane Courier, 4/19/1929",1929-04-17,1929.0
1929.04.11,Provoked,AUSTRALIA,Queensland,"Bribie Passage, Caloundra",standing,M,19,N,nurse shark,"Brisbane Courier, 4/12/1929; Coppleson (1933)",1929-04-11,1929.0
1929.04.09,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,unknown,M,Unknown,Y,unknown,"G.P. Whitley, citng R.S.M.A.C.",1929-04-09,1929.0
1929.04.04,Unprovoked,AUSTRALIA,Torres Strait,Badu Island,swimming,M,Unknown,Y,unknown,"V.M. Coppleson (1958), p.242 ",1929-04-04,1929.0
1929.03.16,Unprovoked,USA,Florida,"Sea Spray, Palm Beach",swimming,M,26,N,unknown,"New York Herald Tribune, 3/17/1929 edtion; H. Monsen, L. Green",1929-03-16,1929.0
