Case Number,Month,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,URL Reference
1941.02.13.,Feb,1941,Provoked,AUSTRALIA,New South Wales,Wollongong,Fishing,Hand lacerated by hooked shark PROVOKED INCIDENT,N,,,"Canberra Times, 2/18/1941, p.4",1941.02.13-See.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.02.13-See.pdf
1941.02.01,Feb,1941,Provoked,JAMAICA,Trelawney Province,Bogue (near Falmouth),Seine netting,"Left knee, calf & heel bitten by shark trapped in the net PROVOKED INCIDENT",N,07h30,,"Daily Gleaner, 2/3/1941, p. 1",1941.02.01-Buchanan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.02.01-Buchanan.pdf
1941.01.29,Jan,1941,Unprovoked,SOUTH ATLANTIC OCEAN,In Convoy OB 274,Off Sierra Leone,Rescuing seaman after ship sunk by German raider,Clothing torn by sharks,N,19h55,,"The London Gazette, 7/8/1941",1941.01.29-Hay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.01.29-Hay.pdf
1941.01.00,Jan,1941,Sea Disaster,ATLANTIC OCEAN,,,Adrift on raft after their ship was sunk by an Axis raider,FATAL,Y,,,Lethbridge Herald. 11/17/1941,1941.01.00-Scotsman-Indian.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.01.00-Scotsman-Indian.pdf
1941.00.00.h,Undetermined,1941,Unprovoked,SOLOMON ISLANDS,New Georgia,Munda,Floating,Buttock bitten,N,,,"Chapman, p.182",1941.00.00.h-Munda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.h-Munda.pdf
1941.00.00.f,Undetermined,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Standing,FATAL,Y,Early morning,,"Lt. Col. R. S. Hunt, pp.80-81",1941.00.00.f-old-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.f-old-fisherman.pdf
1941.00.00.e,Undetermined,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,FATAL,Y,,,"Lt. Col. R. S. Hunt, pp.81-82",1941.00.00.e-local-dignitary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.e-local-dignitary.pdf
1941.00.00.d,Undetermined,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",,"Survived, but suffered a forequarter amputation",N,,,"Lt. Col. R. S. Hunt, p.80",1941.00.00.d-Gurkha-soldier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.d-Gurkha-soldier.pdf
1941.00.00.c,Undetermined,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Slipped off rocks and fell into the water,"FATAL, both arms bitten",Y,,,"Lt.Col. R.S. Hunt, p.80",1941.00.00.c-small-boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.c-small-boy.pdf
1941.00.00.b,Undetermined,1941,Unprovoked,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Standing,FATAL,Y,,,"Lt.Col. R.S. Hunt, p.80",1941.00.00.b-IASCambulance-driver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.b-IASCambulance-driver.pdf
1941.00.00.a,Undetermined,1941,Unprovoked,PAPUA NEW GUINEA,,"Gaire Village, between Rigo & Port Moresby",,"Foot severely bitten, surgically amputated",N,,,"V.M. Coppleson (1962), p.248",1941.00.00.a-RenagiLoi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1941.00.00.a-RenagiLoi.pdf
1940.12.28,Dec,1940,Unprovoked,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing on sandbank,"FATAL, injuries to lower back",Y,09h00,,"J. Green, p.33; V.M. Coppleson (1958), p.235;  G.P. Whitley (1951), p. 192",1940.12.28-Hammond.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.28-Hammond.pdf
1940.12.20,Dec,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,"FATAL, multiple injuries to legs & buttocks",Y,10h00,,"R. Kahn, M. Levine, GSAF",1940.12.20-Chandley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.20-Chandley.pdf
1940.12.19.R,Dec,1940,Unprovoked,AUSTRALIA,Queensland,Double Island Beach,Fishing,Minor injury to leg,N,,,"Soda Springs Sun, 12/19/1940",1940.12.19.R-JackRyan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.19.R-JackRyan.pdf
1940.12.10,Dec,1940,Provoked,AUSTRALIA,Northern Territory,Darwin,Collecting fish in military trap when bitten by captured shark that had been shot by soldiers with Garten,Leg severely lacerated PROVOKED INCIDENT,N,,,"V.M. Coppleson; G.P. Whitley (1951), p. 192",1940.12.10-Garten.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.12.10-Garten.pdf
1940.09.00,Sep,1940,Unprovoked,PANAMA,Panama Bay (Pacific Ocean),Otoque Island,Bathing,FATAL,Y,,5.5 m [18'] shark,"V.M. Coppleson (1958), p.263",1940.09.00-Menacho.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.09.00-Menacho.pdf
1940.07.13.b,Jul,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,Ankle bitten,N,,,"V.M. Coppleson (1958), p.253",1940.07.13.b-Tanner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.07.13.b-Tanner.pdf
1940.07.13.a,Jul,1940,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Standing,Struck by shark immediately before it bit Tanner (see below),N,,,"V.M. Coppleson (1958), p.253",1940.07.13.a-Haley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.07.13.a-Haley.pdf
1940.06.30,Jun,1940,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Fishing,Thigh lacerated,N,,3 m [10'] shark,"C. Creswell, GSAF; F. Schwartz, p.23",1940.06.30-Dye.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.06.30-Dye.pdf
1940.03.31,Mar,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Danger Pool, Winkelspruit, South Coast",Treading water,"FATAL, right thigh & calf bitten",Y,11h00,"White shark, species identity confirmed by tooth pattern","G. Cawston;  H. Robson, M. Levine, GSAF",1940.03.31-Lees.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.03.31-Lees.pdf
1940.03.20,Mar,1940,Unprovoked,AUSTRALIA,New South Wales,Gerringong,Free diving for lobster,Minor injuries to foot,N,,Wobbegong shark,"Sydney Morning Herald, 3/21/1940; V.M. Coppleson (1962), p.251",1940.03.20-Walker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.03.20-Walker.pdf
1940.02.22,Feb,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, South Coast",Swimming,"FATAL, left thigh & knee bitten",Y,16h30,"White shark, 160-kg [353-lb], identity confirmed by tooth pattern","H. Robson, M. Levine, GSAF",1940.02.22 - Lund.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.22-Lund.pdf
1940.02.20,Feb,1940,Boating,AUSTRALIA,New South Wales,Sydney Harbour,Canoeing,"No injury. Shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",N,15h30,,"G.P. Whitley, p.265",1940.02.20-canoe-Sydney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.20-canoe-Sydney.pdf
1940.02.04,Feb,1940,Unprovoked,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",Wading,"FATAL, injuries to both arms",Y,14h00,,"V.M. Coppleson (1958), p.69; A. Sharpe, p.66",1940.02.04-Eke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.04-Eke.pdf
1940.01.29,Jan,1940,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Dived into the water,Shoulder nipped,N,,"""a small shark""","Morning Bulletin, 1/30/1929",1940.01.29-BrisbaneRiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.29-BrisbaneRiver.pdf
1940.01.23,Jan,1940,Unprovoked,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",Swimming,"FATAL, left leg severed",Y,10h40,3 m [10'] shark,"V.M. Coppleson (1958), p.69; A. Sharpe, pp.65-66",1940.01.23-Farrin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.23-Farrin.pdf
1940.01.15,Jan,1940,Unprovoked,AUSTRALIA,Queensland,"Surfers Paradise, near Southport",Swimming,Chest lacerated,N,Afternoon,,"V.M. Coppleson (1958), pp. 93 & 238",1940.01.15-Bright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.15-Bright.pdf
1940.01.07,Jan,1940,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Warner Beach, South Coast",Swimming,"FATAL, leg & thigh bitten",Y,16h00,2.4 m [8'] shark,"R. Guy, T. Jucker & M. Levine, GSAF",1940.01.07-Hooper.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.07-Hooper.pdf
1940.01.01,Jan,1940,Unprovoked,AUSTRALIA,Queensland,"Malagil, Barrier Reef",Diving for trochus,Thigh  lacerated,N,,,"J. Green, p.33; V.M. Coppleson (1958), p.245",1940.01.01-native-diver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.01-native-diver.pdf
1940.00.00.f,Undetermined,1940,Boating,SLOVENIA,Adriatic Sea,Koper,Boating,"No inury to occupants, shark struck boat",N,,White shark,A. De Maddalena; M. Zuffa (pers. Comm.),1940.00.00.f-boat-Slovenia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.f-boat-Slovenia.pdf
1940.00.00.e,Undetermined,1940,Unprovoked,NEW GUINEA,Bwagaoia,"Bagalina, North coast Misima Island",,FATAL,Y,,,"A. Bleakley;  A. M. Rapson, p.148",1940.00.00.e-small-girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.e-small-girl.pdf
1940.00.00.d,Undetermined,1940,Unprovoked,PAPUA NEW GUINEA,Western Papuan Gulf,Kerema,male,Hand bitten,N,,,"Papuan Villager, 11/1940",1940.00.00.d-Kerema.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.d-Kerema.pdf
1940.00.00.c,Undetermined,1940,Invalid,SOUTH AFRICA,Eastern Cape Province,Kidd's Beach,Swimming,No details,UNKNOWN,,,"D. Davies, p. 102",1940.00.00.c-KiddsBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.c-KiddsBeach.pdf
1940.00.00.b,Undetermined,1940,Invalid,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,,FATAL,Y,,,"V.M. Coppleson (1958), p.247; SAF Case #161. Unable to authenticate this incident in local records or press reports.",1940.00.00.b-IndianFemale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.b-IndianFemale.pdf
1940.00.00.a,Undetermined,1940,Invalid,SOUTH AFRICA,Eastern Cape Province,"Kowie River Mouth, Port Alfred",Standing in water with child in her arms,Leg bitten,N,,,"E. Skaife, V. M. Coppleson (1958), p.247;  M. Levine, GSAF",1940.00.00.a-Woman-Kowie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.a-Woman-Kowie.pdf
1939.12.28,Dec,1939,Invalid,AUSTRALIA,New South Wales,"Cabramatta Creek, Georges River",Swimming,Abrasion above knee,N,,6' shark,"V.M. Coppleson (1958), pp.44 & 234; SAF Case #39",1939.12.28-Carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.28-Carroll.pdf
1939.12.14,Dec,1939,Unprovoked,AUSTRALIA,Queensland,"Rubbish Dump Creek, Mackay",Swimming,"FATAL, left foot & right leg bitten, later surgically amputated",Y,12h15,2.6 m [8.5'] shark landed 2 hours later,"Sydney Morning Herald, 12/15/1939; V.M. Coppleson (1958), p.238",1939.12.14-Gurran.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.14-Gurran.pdf
1939.11.23,Nov,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,No injury,N,,"Blue pointer, 16'","Northern Miner, 11/25/1939",1939.11.23-Wollongong-3.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.23-Wollongong-3.pdf
1939.11.11,Nov,1939,Provoked,AUSTRALIA,New South Wales,Maroubra,,Boat bitten by gaffed shark PROVOKED INCIDENT,N,,whaler shark,"G.P. Whitley, p.264",1939.11.11-boat-Maroubra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.11-boat-Maroubra.pdf
1939.11.09,Nov,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,No details,UNKNOWN,,,"G.P. Whitley, p.264",1939.11.09-boat-2-Wollongong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.09-boat-2-Wollongong.pdf
1939.11.06,Nov,1939,Boating,AUSTRALIA,New South Wales,Wollongong,,No details,UNKNOWN,,,"G.P. Whitley, p.264",1939.11.06-boat-1-Wollongong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.06-boat-1-Wollongong.pdf
1939.11.02.R,Nov,1939,Unprovoked,SAMOA,,,Fishing,FATAL,Y,,,"Canberra Times, 11/2/1939",1939.11.02.R-Samoa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.02.R-Samoa.pdf
1939.10.25.R,Oct,1939,Unprovoked,AUSTRALIA,Queensland,Near Restoration Rock off Portland Roads,"Free diving for trochus shell, swimming to dinghy","Both thighs were lacerated, recovered at Thursday Island hospital",N,,"Tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds","G.P. Whitley, p. 20; V.M. Coppleson  (1958), p. 99",1939.10.25.R-Cobbe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.25.R-Cobbe.pdf
1939.10.04,Oct,1939,Unprovoked,USA,Hawaii,"Kane'ohe Bay, Mokapu, O'ahu",Spearfishing & had just speared a ulua,Hand bitten,N,,1.5 m [5'] shark,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; V.M. Coppleson (1962), p.253",1939.10.04-Akina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.04-Akina.pdf
1939.09.27.R,Sep,1939,Unprovoked,AUSTRALIA,Torres Strait,Near Mabuiag Island,Pearl diving,"Leg severely bitten, surgically amputated",N,,Tiger shark,"Cairns Post, 9/27/1939",1939.09.27-Mira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.09.27-Mira.pdf
1939.08.01,Aug,1939,Provoked,USA,California,"Off San Pedro, Los Angeles County",Fishing,Harpooned shark bit his arm PROVOKED INCIDENT,N,,,"L.A. Times, 8/11/1939",1939.08.01-Ray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.08.01-Ray.pdf
1939.07.18,Jul,1939,Sea Disaster,PACIFIC OCEAN,,,Japanese freighter Bokuyo Maru burned & sank,Thought to have been taken by a shark,Y,,,"Syracuse Herald, 7/30/1939",1939.07.18-Child-B-Maru.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.18-Child-B-Maru.pdf
1939.07.16,Jul,1939,Provoked,BAHAMAS,Andros Islands,Blue Hole,"Dress diving, filming shark & pulling it through the water for a motion picture scene",Minor injury to shoulder & back PROVOKED INCIDENT,N,12h00,"Nurse shark, 2.1 m [7']","Evening Sun (Baltimore), 7/31/1939; E.R.F. Johnson",1939.07.16-MacEwan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.16-MacEwan.pdf
1939.07.14,Jul,1939,Provoked,USA,Texas,"West Bay, 19 miles from Galveston",Seine netting,Leg bitten by snared shark PROVOKED INCIDENT,N,Morning,18' shark,"Galveston Daily News, 7/20/1939, p.4",1939.07.14-Bolling.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.14-Bolling.pdf
1939.05.03,May,1939,Unprovoked,USA,Virginia,"At sea, several hundred miles south east of Cape Henry, Virginia",Washed off freighter Huncliff by a freak wave,"FATAL, attacked by shark, body not recovered",Y,,,"L.A. Times, 5/7/1939; NY Times, 5/8/1939, p.18, col.1; V.M. Coppleson , p.253",1939.05.03-Heagan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.05.03-Heagan.pdf
1939.04.12.R,Apr,1939,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Bulolol,Dived for a coin,FATAL,Y,,,"Cairns Post, 4/12/1939",1939.04.12.R-Child.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.04.12.R-Child.pdf
1939.03.24,Mar,1939,Unprovoked,PAPUA NEW GUINEA,Central Province,Port Moresby,Dived for a coin,"FATAL, leg severed just below hip",Y,,"""a large shark""","The Papuan Villager, March 1939; G.P. Whitley, p.21",1939.03.24-Raho-Heni.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.03.24-Raho-Heni.pdf
1939.02.26,Feb,1939,Provoked,NEW ZEALAND,North Island,Matakana River Mouth,Fishing,Lacerations to left hand from hooked shark PROVOKED INCIDENT,N,,7' shark,"Auckland Star, 2/28/1939",1939.02.26-Ramsbottom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.02.26-Ramsbottom.pdf
1939.01.12,Jan,1939,Unprovoked,AUSTRALIA,New South Wales,Clarence River,Scooping prawns,No injury,N,,7' shark,"G.P. Whitley, p.264",1939.01.12.R-ClarenceRiver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.01.12.R-ClarenceRiver.pdf
1939.00.00.e,Undetermined,1939,Sea Disaster,SRI LANKA,,,She was on a ship that was torpedoes & was in the water awaiting rescue,Leg severely bitten,N,,,"V.M. Coppleson (1962), p.258",1939.00.00.e-WREN.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.e-WREN.pdf
1939.00.00.d,Undetermined,1939,Boating,BAHAMAS,Andros Islands,Middle Bight,Fishing,"No injury to occupant, shark rammed bow of boat",N,,Tiger shark,E.R.F. Johnson,1939.00.00.d-skiff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.d-skiff.pdf
1939.00.00.c,Undetermined,1939,Unprovoked,VENEZUELA,Carabobo,"El Falito, near Puerto Cabello",Bathing,FATAL.,Y,,,H.E. Iverson,1939.00.00.c-Haberdasher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.c-Haberdasher.pdf
1939.00.00.b,Undetermined,1939,Unprovoked,CURACAO,Ascension Bay,,Diving,"No injury, left hip bumped by shark",N,,Tiger shark,"H. Hass in Diving To Adventure, p.169",1939.00.00.b-Hass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.b-Hass.pdf
1939.00.00.a,Undetermined,1939,Unprovoked,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Aroma Passage,Swimming to anchored boat,"Fatal, lower abdomen bitten",Y,,,"A. Bleakley;  A. M. Rapson, p.148",1939.00.00.a-Garvakala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.a-Garvakala.pdf
1938.12.27,Dec,1938,Unprovoked,AUSTRALIA,New South Wales,"North Beach, Belligen River",Swimming,"FATAL, thought to have been taken by a shark",Y,,,"G.P. Whitley, p.264",1938.12.27-Graham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.12.27-Graham.pdf
1938.10.05,Oct,1938,Provoked,AUSTRALIA,Queensland,Between Wynnum & St. Helena Island,Fishing,Laceration to left foot & ankle by netted shark PROVOKED INCIDENT,N,Afternoon,"Tiger shark, 6'","Cairns Post, 10/6/1938",1938.10.05-Lopez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.10.05-Lopez.pdf
1938.08.29,Aug,1938,Unprovoked,CHINA,North China,"Outer harbor, Hong Kong",Swimming alongside warship   Tsingt-ao,"FATAL, leg severed",Y,,,"New York Times (William Baker), 8/30/1938; [SAF Case #934]; V.M. Coppleson  (1958), p.257; A. MacCormick, p.134",1938.08.29-Baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.29-Baker.pdf
1938.08.18,Aug,1938,Provoked,USA,California,"Near Encino, Los Angeles County",Fishing,Lacerations to hand by hooked shark PROVOKED INCIDENT,N,,,"Washington Post. 8/19/1938, p.24",1938.08.18-WarrenWilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.18-WarrenWilliams.pdf
1938.07.18,Jul,1938,Unprovoked,USA,South Carolina,Charleston,Swimming,Foot & ankle lacerated,N,,,"Kingsport Times, 7/18/1938",1938.07.18-MaynardTanner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.18-MaynardTanner.pdf
1938.07.17.R,Jul,1938,Provoked,TURKEY,,,Fishing,Injured by harpooned shark PROVOKED INCIDENT,N,,,"C. Moore, GSAF",1938.07.17.R-Turkey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17.R-Turkey.pdf
1938.07.17,Jul,1938,Provoked,USA,California,"Dana Point, Orange County","Fishing, removing gaff from shark's mouth",Leg bitten by gaffed shark PROVOKED INCIDENT,N,,,"L.A. Times, 7/18/1938",1938.07.17-Griffet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17-Griffet.pdf
1938.07.12,Jul,1938,Unprovoked,AUSTRALIA,Torres Strait,Off Bathurst Island,"Hardhat diving from Japanese pearling lugger, Reiyo Maru","FATAL, dragged out of diving helmet",Y,,,"G.P. Whitley, p.264; V.M. Coppleson  (1958), p.244; Sydney Morning Herald, 7/12/1938",1938.07.12-Okada.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.12-Okada.pdf
1938.06.17,Jun,1938,Unprovoked,NICARAGUA,Lower San Juan River,,"The schooner Elizabeth, bound from Bluefields, Nicaragua to the river port of San Carlos foundered","FATAL x 2, all other passengers & crew reached shore after a long swim",Y,,Thought to involve bull sharks,"NY Times; L. Schultz & M. Malin, p.558",1938.06.17-Hodgson_Ollis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.17-Hodgson_Ollis.pdf
1938.06.08,Jun,1938,Unprovoked,AUSTRALIA,New South Wales,Manly,Hardhat diving,"No injury, the shark knocked him off his feet",N,,6' shark,"The Canberra Times, 6/10/1938",1938.06.08-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.08-Edwards.pdf
1938.05.26,May,1938,Unprovoked,COSTA RICA,Nicoya Peninsula,,Fishing,"FATAL, pulled overboard by tuna, & bitten by shark",Y,,,"V.M. Coppleson  (1958), p.259",1938.05.26.R-Villareal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.26.R-Villareal.pdf
1938.05.15,May,1938,Unprovoked,IRAQ,Basrah City,"Ashar Canal, where people wash clothes & kitchen pans","Swimming, naked","Arm severed, but survived. Note: Some weeks later he was swimming at the same spot when a shark severed his right foot.",N,Afternoon,Bull shark,B.W. Coad & L.A.J. Al-Hassan,1938.05.15-Basrah.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.15-Basrah.pdf
1938.05.02.R,May,1938,Unprovoked,INDIA,West Bengal,Hooghley River near Budge-Budge,Bathing,"2 survived,       1 FATAL",Y,,,"The Times (London), 5/2/1938, p.15",1938.05.02.R-India.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.02.R-India.pdf
1938.03.21.R,Mar,1938,Unprovoked,FIJI,Viti Levu,Singatoka River,Wading,unknown,N,,,"Time Magazine, 3/21/1938",1938.03.21.R-FijianMethodist.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.21.R-FijianMethodist.pdf
1938.03.08,Mar,1938,Unprovoked,AUSTRALIA,Northern Territory,Liverpool River,Canoe capsized by shark,"Leg severed, but survived",N,,,"V.M. Coppleson  (1958) (in text); Sydney Morning Herald, 3/16/1938",1938.03.08-Liverpool-River.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.08-Liverpool-River.pdf
1938.01.21,Jan,1938,Provoked,AUSTRALIA,New South Wales,Tweed Heads,Fishing,Thumb bitten by landed shark PROVOKED INCIDENT,N,,"Tiger shark, 3'","Courier-Mail, 1/22/1938; Sydney Morning Herald 1/26/1938; Whitley, p.264",1938.01.21-Corowa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.21-Corowa.pdf
1938.01.18,Jan,1938,Provoked,SOUTH AFRICA,KwaZulu-Natal,"Vetchs Pier, Durban","Watching seine netters with friends, one of whom picked up a netted shark",Leg bitten PROVOKED INCIDENT,N,,,"M. Levine, GSAF",1938.01.18-Parkin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.18-Parkin.pdf
1938.01.14,Jan,1938,Unprovoked,AUSTRALIA,New South Wales,"Lady Martins Beach, Sydney Harbor",Diving off jetty,Superficial lacerations on feet & toes,N,Afternoon,Questionable incident,"The Canberra Times, 1/15/1938",1938.01.14-Murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.14-Murray.pdf
1938.01.02,Jan,1938,Unprovoked,AUSTRALIA,New South Wales,Cronulla,Surf skiing,"No injury, ski bumped & he was thrown in the water. Ski had indentations",N,,,"Sydney Morning Herald, 1/3/1938;  J. Green, p.33; V.M. Coppleson (1958), p.42 NOTE: Coppleson gives date as January 1937",1938.01.02-Baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.02-Baker.pdf
1938.00.00.e.R,Undetermined,1938,Unprovoked,EGYPT,,Mersa Matruh,Sponge diving,FATAL,Y,,,"C. Moore, GSAF",1938.00.00.e.R-Egypt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.e.R-Egypt.pdf
1938.00.00.d,Undetermined,1938,Unprovoked,TRINIDAD & TOBAGO,Trinidad,"Manzanilla Bay, St. Andrew County",Body surfing,Left hand and arm bitten,N,,"""grey-colored shark""","E. Pace, FSAF",1938.00.00.d-Huggins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.d-Huggins.pdf
1938.00.00.c,Undetermined,1938,Provoked,USA,North Carolina,On one of the sounds near Wilmington,Fishing,"No injury, boat towed by harpooned shark, PROVOKED INCIDENT",N,,,"C. Creswell, GSAF; J. Hair, p.27",1938.00.00.c-Willards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.c-Willards.pdf
1938.00.00.b,Undetermined,1938,Unprovoked,AUSTRALIA,Torres Strait,,Diving,Leg severed above knee,N,,,"V.M. Coppleson (1958), p.245",1938.00.00.b-Sammy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.b-Sammy.pdf
1938.00.00.a,Undetermined,1938,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Bilanhlolo River Mouth, Ramsgate",Swimming,"""Mauled""",N,,,H. Greenwood,1938.00.00.a-blackmale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.a-blackmale.pdf
1937.11.13,Nov,1937,Sea Disaster,USA,North Carolina,Off Cape Hatteraa,"Tzenny Chandris, a Greek freighter laden with scrap iron, foundered in heavy weather",FATAL,Y,,,"Stevens Point Journal, 11/15/1937; TIME, 11/22/1937; Life Magazine, 11/29/1937",1937.11.13-Tzenny-Chandris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.13-Tzenny-Chandris.pdf
